subjects,sentences,contexts,gestured,maxF0,meanF0
subj24_shorten_mono,Neil doesn't enjoy,not > most,no,409.8239987,253.3988035
subj24_shorten_mono,most musicals,,yes,375.5780533,224.4735382
subj24_shorten_mono,Neil doesn't enjoy most musicals,most > not,yes,370.7877391,238.2902913
subj24_shorten_mono,all the woollining,not >all,no,355.1040716,255.9419777
subj24_shorten_mono,wasn't,,yes,370.1210963,264.4030444
subj24_shorten_mono,worn,,no,104.3796678,102.1857727
subj24_shorten_mono,all the woollining wasn't worn,all > not,yes,422.8315428,243.3200173
subj24_shorten_mono,Liam doesn't know,not > many,no,410.2713149,250.3670637
subj24_shorten_mono,many,,yes,399.4923271,237.4981728
subj24_shorten_mono,alumni,,no,183.3742224,143.9581848
subj24_shorten_mono,Liam doesn't know many alumni,many > not,yes,409.3913279,241.3373738
subj24_shorten_mono,all the magnolias won't,all > not,no,354.6886102,255.0890703
subj24_shorten_mono,bloom,,yes,270.9816165,239.2579381
subj24_shorten_mono,all,not > all,yes,420.1256188,290.8539518
subj24_shorten_mono,the magnolias won't bloom,,no,343.5136011,184.4004003
subj25_shorten_mono,all,all > not,yes,217.5051421,194.9459218
subj25_shorten_mono,the moms didn't allow eyeliner,,no,201.4695134,131.1582338
subj25_shorten_mono,all,not > all,yes,259.9946788,198.5027573
subj25_shorten_mono,the moms didn't allow eyeliner,,no,253.2626944,106.8169705
subj25_shorten_mono,Neil,not > most,no,217.1734844,178.7390618
subj25_shorten_mono,doesn't enjoy,,yes,192.1148643,156.6971437
subj25_shorten_mono,most musicals,,no,181.4946226,118.7523954
subj25_shorten_mono,Neil doesn't enjoy most,most > not,no,183.0040903,146.2703071
subj25_shorten_mono,musicals,,yes,106.531132,93.01445348
subj25_shorten_mono,all the woollining wasn't worn,not > all,no,215.301495,148.5304756
subj25_shorten_mono,all the woollining wasn't worn,all > not,no,267.2080419,174.0955833
subj25_shorten_mono,Liam doesn't know many alumni,not > many,no,208.2056285,128.3375958
subj25_shorten_mono,Liam doesn't know many alumni,many > not,no,155.8684165,121.4702384
subj25_shorten_mono,all the magnolias won't bloom,all > not,no,207.3400174,131.6019699
subj25_shorten_mono,all the magnolias,not > all,no,214.7633345,124.6176211
subj25_shorten_mono,won't,,yes,96.61663405,94.91723031
subj25_shorten_mono,bloom,,no,96.36387027,93.69595168
subj26_shorten_mono,all the moms didn't allow,all > not,no,396.3056275,283.6240459
subj26_shorten_mono,eyeliner,,no,192.28464,166.7988508
subj26_shorten_mono,all the moms didn't allow,not > all,no,380.2356233,198.8824737
subj26_shorten_mono,eyeliner,,yes,146.5443696,133.9050435
subj26_shorten_mono,Neil doesn't enjoy,not > most,yes,344.738315,235.34603
subj26_shorten_mono,most musicals,,no,204.0764689,185.0098687
subj26_shorten_mono,Neil doens't enjoy most musicals,most > not,no,338.9962115,226.0410542
subj26_shorten_mono,all the woollining wasn't,not > all,no,322.8004876,232.1162218
subj26_shorten_mono,worn,,yes,173.8586107,162.5584424
subj26_shorten_mono,all the woollining,all > not,no,418.4338423,238.2267926
subj26_shorten_mono,wasn'tworn,,yes,226.3328324,191.9675561
subj26_shorten_mono,Liamdoesn'tknow,not > many,no,322.6988301,263.6832002
subj26_shorten_mono,many alumni,,yes,196.2468538,120.5778244
subj26_shorten_mono,Liam doesn't know many,many > not,no,269.4954612,210.3594932
subj26_shorten_mono,alumni,,yes,233.5689716,190.2936534
subj26_shorten_mono,all the magnolias won't,all > not,no,334.8881617,246.7605493
subj26_shorten_mono,bloom,,yes,184.4236114,175.3059539
subj26_shorten_mono,all the magnolias,not > all,no,409.1981236,217.6160725
subj26_shorten_mono,won't bloom,,yes,204.6665651,172.5614397
subj27_shorten_mono,all the moms,all > not,no,258.0130665,221.0377689
subj27_shorten_mono,didn't,,yes,203.9874377,196.8108404
subj27_shorten_mono,allow eyeliner,,no,192.4787666,169.5525468
subj27_shorten_mono,all the,not > all,no,237.4491172,223.3606445
subj27_shorten_mono,moms didn't allow eyeliner,,yes,234.0196237,182.5131524
subj27_shorten_mono,Neil,not > most,no,264.2846498,250.7481142
subj27_shorten_mono,doesn't enjoy most musicals,,yes,257.1437483,206.4986673
subj27_shorten_mono,Neil doesn't enjoy most musicals,most > not,yes,230.1917393,189.3475072
subj27_shorten_mono,all the woollining,not > all,no,253.388676,218.3035035
subj27_shorten_mono,wasn't worn,,yes,196.4729312,163.9979239
subj27_shorten_mono,all the woolling,all > not,no,261.542106,221.6758338
subj27_shorten_mono,wasn't,,yes,203.1910231,187.8430609
subj27_shorten_mono,worn,,no,396.143232,226.1361598
subj27_shorten_mono,Liam,not > many,no,257.2888423,235.2998273
subj27_shorten_mono,doens't know many,,yes,235.1465041,199.0392165
subj27_shorten_mono,alumni,,no,191.5928712,152.451927
subj27_shorten_mono,Liam doesn't know many alumni,many > not,yes,233.2017543,184.8648789
subj27_shorten_mono,all the magnolias won't bloom,all > not,yes,259.0666996,206.620055
subj27_shorten_mono,all the magnolias won't bloom,not > all,no,249.0150248,199.4697788
subj28_shorten_mono,all the moms didn't allow eyeliner,all > not,no,232.1674244,130.1290113
subj28_shorten_mono,allthemoms,not > all,no,236.2847335,176.7530666
subj28_shorten_mono,didn't,,yes,192.0667292,181.5897481
subj28_shorten_mono,allow eyeliner,,no,180.7550736,131.4809615
subj28_shorten_mono,Neil doesn't enjoy most musicals,not > most,no,225.170304,165.9526585
subj28_shorten_mono,Neil,most > not,no,237.7707889,227.7015556
subj28_shorten_mono,doens't enjoy most musicals,,yes,241.0285474,178.4823693
subj28_shorten_mono,all the woollining wasn't worn,not > all,no,235.370802,166.7601909
subj28_shorten_mono,all the woollining wasn't worn,all > not,no,282.2701668,182.825059
subj28_shorten_mono,Liam doesn't know many alumni,not > many,no,263.3681028,166.1962188
subj28_shorten_mono,Liam,many > not,no,277.385307,252.2425346
subj28_shorten_mono,doesn't know many alumni,,yes,238.2693243,134.9473239
subj28_shorten_mono,all the magnolias won't bloom,all > not,no,354.8930429,137.6864705
subj28_shorten_mono,all the magnolias,not > all,no,231.2538372,169.6507121
subj28_shorten_mono,won't bloom,,yes,321.2245473,157.5653043
